epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.715,1.53273,1.33238,1.03262,0.78837,0.65963,0.76288,0.44346,1.33762,0.94493,0.9604,0.00019898,0.00019898,0.080301
2,36.6735,1.44474,0.95923,0.99759,0.81676,0.72898,0.81057,0.47412,1.30015,0.82897,0.96189,0.000398955,0.000398955,0.060501
3,54.7416,1.39798,0.89988,0.98658,0.84712,0.75518,0.84267,0.49482,1.30469,0.8032,0.95081,0.000598833,0.000598833,0.0407009
4,72.4694,1.38174,0.84709,0.97352,0.8541,0.78783,0.8644,0.52633,1.22478,0.72029,0.93978,0.000798541,0.000798541,0.0209006
5,90.6294,1.36673,0.81711,0.97709,0.8631,0.80613,0.88184,0.51354,1.2383,0.72532,0.93956,0.000998004,0.000998004,0.00110004
6,108.464,1.34599,0.79856,0.96518,0.85205,0.80579,0.87991,0.52084,1.24032,0.70387,0.9414,0.000998474,0.000998474,0.000998474
7,126.592,1.32485,0.77602,0.96163,0.85464,0.77615,0.85574,0.53418,1.20041,0.69172,0.93724,0.000997803,0.000997803,0.000997803
8,144.296,1.32918,0.76044,0.96437,0.8767,0.81704,0.88962,0.54681,1.18644,0.6724,0.92735,0.000997011,0.000997011,0.000997011
9,162.095,1.33512,0.75644,0.9541,0.87585,0.8184,0.8853,0.54782,1.18561,0.66908,0.93178,0.000996097,0.000996097,0.000996097
10,180.347,1.32649,0.7471,0.95711,0.8763,0.82589,0.89207,0.54774,1.19232,0.65086,0.93155,0.000995062,0.000995062,0.000995062
11,198.919,1.29926,0.7322,0.95067,0.87228,0.82376,0.88971,0.54932,1.17641,0.65834,0.92281,0.000993906,0.000993906,0.000993906
12,217.394,1.3169,0.74253,0.9504,0.86595,0.82521,0.88955,0.55127,1.19231,0.65516,0.93394,0.000992629,0.000992629,0.000992629
13,235.035,1.2925,0.73255,0.94986,0.86431,0.81169,0.88652,0.55997,1.17131,0.64773,0.92612,0.000991232,0.000991232,0.000991232
14,252.735,1.29775,0.72736,0.94741,0.88684,0.82238,0.89931,0.55769,1.19258,0.64182,0.92731,0.000989715,0.000989715,0.000989715
15,270.139,1.29653,0.71756,0.95154,0.87591,0.81287,0.89249,0.56675,1.15999,0.62839,0.92234,0.000988079,0.000988079,0.000988079
16,287.609,1.27284,0.70544,0.94469,0.86365,0.81465,0.89075,0.55822,1.17112,0.636,0.92484,0.000986323,0.000986323,0.000986323
17,304.904,1.27054,0.69527,0.94118,0.88982,0.81177,0.89664,0.56977,1.16626,0.61835,0.92218,0.000984449,0.000984449,0.000984449
18,322.46,1.2611,0.69748,0.94467,0.87671,0.8165,0.8913,0.55423,1.1889,0.63732,0.92813,0.000982456,0.000982456,0.000982456
19,339.69,1.26769,0.69251,0.9446,0.88262,0.82499,0.89544,0.56117,1.15368,0.61852,0.91881,0.000980345,0.000980345,0.000980345
20,357.271,1.27276,0.686,0.94332,0.8773,0.82099,0.89582,0.56609,1.16354,0.62431,0.92626,0.000978118,0.000978118,0.000978118
21,374.782,1.27302,0.68621,0.94344,0.88334,0.82811,0.90853,0.57238,1.16278,0.61291,0.92307,0.000975773,0.000975773,0.000975773
22,392.044,1.24423,0.66894,0.94118,0.88433,0.83092,0.90267,0.55969,1.17455,0.61582,0.92501,0.000973312,0.000973312,0.000973312
23,409.799,1.25256,0.67397,0.93375,0.88319,0.82695,0.90034,0.57242,1.15744,0.61047,0.92023,0.000970736,0.000970736,0.000970736
24,427.526,1.25631,0.67513,0.94053,0.88117,0.84133,0.90501,0.55793,1.16519,0.61389,0.92077,0.000968045,0.000968045,0.000968045
25,444.788,1.23531,0.66774,0.93815,0.87917,0.83203,0.90177,0.56505,1.15097,0.60231,0.92284,0.000965239,0.000965239,0.000965239
26,462.254,1.26419,0.67926,0.94452,0.88197,0.83759,0.90229,0.55608,1.18427,0.61357,0.92574,0.00096232,0.00096232,0.00096232
27,480.101,1.2379,0.66475,0.93294,0.8766,0.84497,0.90968,0.56655,1.16345,0.60164,0.92213,0.000959289,0.000959289,0.000959289
28,497.448,1.23852,0.6645,0.93303,0.8766,0.84713,0.90362,0.55993,1.14548,0.61622,0.91755,0.000956145,0.000956145,0.000956145
29,514.802,1.24554,0.67206,0.93868,0.87246,0.84373,0.90434,0.56711,1.14806,0.59852,0.9209,0.000952889,0.000952889,0.000952889
30,532.155,1.24513,0.66448,0.93456,0.88617,0.83066,0.90434,0.57598,1.14374,0.59812,0.92079,0.000949524,0.000949524,0.000949524
31,549.558,1.23073,0.66235,0.9371,0.89183,0.83782,0.91386,0.57923,1.13948,0.59017,0.92048,0.000946048,0.000946048,0.000946048
32,566.79,1.22788,0.65648,0.93458,0.89431,0.83339,0.9072,0.57583,1.13339,0.59084,0.91466,0.000942464,0.000942464,0.000942464
33,584.566,1.25005,0.66918,0.93347,0.90133,0.83509,0.91398,0.58297,1.12782,0.57809,0.91923,0.000938772,0.000938772,0.000938772
34,602.251,1.23484,0.65672,0.9368,0.87715,0.85877,0.90963,0.57658,1.1305,0.61628,0.91714,0.000934973,0.000934973,0.000934973
